Modelo,Precisión,Sensibilidad,Especificidad,Exactitud,F1-Score,AUC-ROC,MAE,Disp. Proyectada,VP,FP,VN,FN
Preventivo tradicional (línea base),0.1623,0.3052,0.5850,0.5267,0.2119,0.4247,0.4733,0.6079,105,542,764,239
Regresión Logística,0.2085,1.0000,0.0000,0.2085,0.3450,0.5309,0.5012,0.0000,344,1306,0,0
Árbol de Decisión,0.2021,0.5552,0.4227,0.4503,0.2964,0.5046,0.4110,0.4273,191,754,552,153
Random Forest,0.2118,0.9186,0.0995,0.2703,0.3442,0.5603,0.4539,0.0958,316,1176,130,28
Gradient Boosting,0.2217,0.6541,0.3951,0.4491,0.3311,0.5258,0.4205,0.3848,225,790,516,119
